id,has_user_avatar,has_user_background,has_user_description,user_created_at,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_statuses_count,user_verified
587669420992045000,1,1,1,Wed Jan 15 10:10:44 +0000 2014,17639,125832,98932,1186,23026,0
587669420992045000,1,1,1,Wed Jan 15 10:10:44 +0000 2014,17639,125832,98932,1186,23026,0
587669420992045000,1,1,1,Wed Jan 15 10:10:44 +0000 2014,17639,125832,98932,1186,23026,0
587669420992045000,1,1,1,Wed Jan 15 10:10:44 +0000 2014,17639,125832,98932,1186,23026,0
599100980118983000,1,1,1,Fri Aug 06 04:56:12 +0000 2010,119,339,581,13,2606,0
599100980118983000,1,1,1,Fri Aug 06 04:56:12 +0000 2010,119,339,581,13,2606,0
599100980118983000,1,1,1,Fri Aug 06 04:56:12 +0000 2010,119,339,581,13,2606,0
599100980118983000,1,1,1,Fri Aug 06 04:56:12 +0000 2010,119,339,581,13,2606,0
599100980118983000,1,1,1,Fri Aug 06 04:56:12 +0000 2010,119,339,581,13,2606,0
599100980118983000,1,1,1,Fri Aug 06 04:56:12 +0000 2010,119,339,581,13,2606,0
608175507386081000,1,1,1,Mon Aug 02 22:40:51 +0000 2010,6,277,143,11,437,0
608175507386081000,1,1,1,Mon Aug 02 22:40:51 +0000 2010,6,277,143,11,437,0
602903236559958000,1,1,1,Tue Jan 07 16:35:23 +0000 2014,49,608,138,11,898,0
602903236559958000,1,1,1,Tue Jan 07 16:35:23 +0000 2014,49,608,138,11,898,0
602903236559958000,1,1,1,Tue Jan 07 16:35:23 +0000 2014,49,608,138,11,898,0
602903236559958000,1,1,1,Tue Jan 07 16:35:23 +0000 2014,49,608,138,11,898,0
602903236559958000,1,1,1,Tue Jan 07 16:35:23 +0000 2014,49,608,138,11,898,0
602903236559958000,1,1,1,Tue Jan 07 16:35:23 +0000 2014,49,608,138,11,898,0
602903236559958000,1,1,1,Tue Jan 07 16:35:23 +0000 2014,49,608,138,11,898,0
604333385796821000,1,0,1,Thu Dec 25 08:41:46 +0000 2008,103,53,78,1,1036,0
604333385796821000,1,0,1,Thu Dec 25 08:41:46 +0000 2008,103,53,78,1,1036,0
604333385796821000,1,0,1,Thu Dec 25 08:41:46 +0000 2008,103,53,78,1,1036,0
604333385796821000,1,0,1,Thu Dec 25 08:41:46 +0000 2008,103,53,78,1,1036,0
589250465839321000,1,1,1,Thu Jan 01 20:12:27 +0000 2015,0,48,40,15,76719,0
589250465839321000,1,1,1,Thu Jan 01 20:12:27 +0000 2015,0,48,40,15,76719,0
606562714756850000,1,1,1,Sun May 24 16:55:21 +0000 2009,0,60,137,0,1524,0
606562714756850000,1,1,1,Sun May 24 16:55:21 +0000 2009,0,60,137,0,1524,0
606562714756850000,1,1,1,Sun May 24 16:55:21 +0000 2009,0,60,137,0,1524,0
606562714756850000,1,1,1,Sun May 24 16:55:21 +0000 2009,0,60,137,0,1524,0
606562714756850000,1,1,1,Sun May 24 16:55:21 +0000 2009,0,60,137,0,1524,0
591820563246490000,1,0,1,Sun Apr 19 06:07:30 +0000 2009,37710,18223,17361,252,46360,0
591820563246490000,1,0,1,Sun Apr 19 06:07:30 +0000 2009,37710,18223,17361,252,46360,0
591820563246490000,1,0,1,Sun Apr 19 06:07:30 +0000 2009,37710,18223,17361,252,46360,0
590300308166746000,1,1,1,Sat Apr 23 17:28:01 +0000 2011,115,779,501,18,8652,0
590300308166746000,1,1,1,Sat Apr 23 17:28:01 +0000 2011,115,779,501,18,8652,0
590300308166746000,1,1,1,Sat Apr 23 17:28:01 +0000 2011,115,779,501,18,8652,0
590300308166746000,1,1,1,Sat Apr 23 17:28:01 +0000 2011,115,779,501,18,8652,0
590300308166746000,1,1,1,Sat Apr 23 17:28:01 +0000 2011,115,779,501,18,8652,0
590300308166746000,1,1,1,Sat Apr 23 17:28:01 +0000 2011,115,779,501,18,8652,0
601003698857366000,1,1,1,Sat Apr 23 17:28:01 +0000 2011,115,779,501,18,8652,0
608408641855758000,1,1,1,Tue May 04 02:31:12 +0000 2010,0,2416,84,135,168864,0
608408641855758000,1,1,1,Tue May 04 02:31:12 +0000 2010,0,2416,84,135,168864,0
608408641855758000,1,1,1,Tue May 04 02:31:12 +0000 2010,0,2416,84,135,168864,0
608408641855758000,1,1,1,Tue May 04 02:31:12 +0000 2010,0,2416,84,135,168864,0
576343799259111000,1,1,1,Thu Feb 20 22:30:19 +0000 2014,4,298,1,58,173710,0
576343799259111000,1,1,1,Thu Feb 20 22:30:19 +0000 2014,4,298,1,58,173710,0
593208631090262000,1,1,1,Sat Sep 29 17:50:00 +0000 2012,3056,860,1001,17,16494,0
593208631090262000,1,1,1,Sat Sep 29 17:50:00 +0000 2012,3056,860,1001,17,16494,0
593208631090262000,1,1,1,Sat Sep 29 17:50:00 +0000 2012,3056,860,1001,17,16494,0
593208631090262000,1,1,1,Sat Sep 29 17:50:00 +0000 2012,3056,860,1001,17,16494,0
588754610753557000,1,1,1,Mon Apr 20 16:26:02 +0000 2009,116,777,1270,34,786,0
588754610753557000,1,1,1,Mon Apr 20 16:26:02 +0000 2009,116,777,1270,34,786,0
608948084064703000,1,1,0,Mon Jun 25 05:34:59 +0000 2012,3831,421,2001,21,8514,0
608948084064703000,1,1,0,Mon Jun 25 05:34:59 +0000 2012,3831,421,2001,21,8514,0
608948084064703000,1,1,0,Mon Jun 25 05:34:59 +0000 2012,3831,421,2001,21,8514,0
608948084064703000,1,1,0,Mon Jun 25 05:34:59 +0000 2012,3831,421,2001,21,8514,0
608948084064703000,1,1,0,Mon Jun 25 05:34:59 +0000 2012,3831,421,2001,21,8514,0
575262217366561000,1,1,1,Tue Apr 20 12:08:24 +0000 2010,162,137,317,1,614,0
575262217366561000,1,1,1,Tue Apr 20 12:08:24 +0000 2010,162,137,317,1,614,0
575262217366561000,1,1,1,Tue Apr 20 12:08:24 +0000 2010,162,137,317,1,614,0
603567551189275000,0,1,1,Sun Nov 17 01:29:05 +0000 2013,0,140,4,45,238492,0
603567551189275000,0,1,1,Sun Nov 17 01:29:05 +0000 2013,0,140,4,45,238492,0
603567551189275000,0,1,1,Sun Nov 17 01:29:05 +0000 2013,0,140,4,45,238492,0
603567551189275000,0,1,1,Sun Nov 17 01:29:05 +0000 2013,0,140,4,45,238492,0
603567551189275000,0,1,1,Sun Nov 17 01:29:05 +0000 2013,0,140,4,45,238492,0
603567551189275000,0,1,1,Sun Nov 17 01:29:05 +0000 2013,0,140,4,45,238492,0
587348233497747000,1,1,1,Tue Apr 29 09:00:41 +0000 2014,1086,288,316,9,3880,0
600066934433030000,1,1,1,Sat Apr 11 11:20:07 +0000 2015,409,1430,2000,24,9923,0
600066934433030000,1,1,1,Sat Apr 11 11:20:07 +0000 2015,409,1430,2000,24,9923,0
600066934433030000,1,1,1,Sat Apr 11 11:20:07 +0000 2015,409,1430,2000,24,9923,0
600066934433030000,1,1,1,Sat Apr 11 11:20:07 +0000 2015,409,1430,2000,24,9923,0
600066934433030000,1,1,1,Sat Apr 11 11:20:07 +0000 2015,409,1430,2000,24,9923,0
590864901322576000,1,1,1,Wed May 02 07:45:54 +0000 2012,160,196,442,11,2064,0
