id,comments_count,keywords_count,nouns_count,numerical_count,publication_date,punctuation_count,uppercase_count,entities_count,word_count,sentiment_count
558ead5a48d3e920128197e6,0,12,71,15,2010-02-15T12:15:36Z,43,90,100,523,-0.375
558ead5a48d3e920128197e9,0,16,42,11,2010-04-30T11:17:14Z,25,56,58,319,0.0
558ead5a48d3e920128197e9,0,16,42,11,2010-04-30T11:17:14Z,25,56,58,319,0.0
558ead5a48d3e920128197e9,0,16,42,11,2010-04-30T11:17:14Z,25,56,58,319,0.0
558ead5a48d3e920128197f7,0,20,68,12,2011-02-18T07:38:44Z,60,101,97,613,-1.125
558ead5a48d3e920128197f7,0,20,68,12,2011-02-18T07:38:44Z,60,101,97,613,-1.125
558ead5a48d3e920128197f7,0,20,68,12,2011-02-18T07:38:44Z,60,101,97,613,-1.125
558ead5a48d3e92012819857,0,3,73,12,2010-04-03T00:00:00Z,43,94,94,429,-1.0
558ead5a48d3e92012819893,0,0,45,2,2014-09-15T07:30:03Z,22,61,60,294,1.0
558ead5a48d3e92012819893,0,0,45,2,2014-09-15T07:30:03Z,22,61,60,294,1.0
558ead5a48d3e92012819893,0,0,45,2,2014-09-15T07:30:03Z,22,61,60,294,1.0
558ead5a48d3e92012819893,0,0,45,2,2014-09-15T07:30:03Z,22,61,60,294,1.0
558ead5a48d3e92012819810,0,15,76,4,2013-12-20T05:57:24Z,43,102,82,549,-2.125
558ead5a48d3e92012819810,0,15,76,4,2013-12-20T05:57:24Z,43,102,82,549,-2.125
558ead5a48d3e92012819810,0,15,76,4,2013-12-20T05:57:24Z,43,102,82,549,-2.125
558ead5a48d3e92012819810,0,15,76,4,2013-12-20T05:57:24Z,43,102,82,549,-2.125
558ead5a48d3e92012819810,0,15,76,4,2013-12-20T05:57:24Z,43,102,82,549,-2.125
558ead5a48d3e9201281980c,0,12,33,5,2013-07-16T09:57:00Z,30,58,61,372,1.75
558ead5a48d3e920128198a4,0,0,88,21,2015-04-20T13:08:47Z,74,138,128,693,-3.0
558ead5a48d3e920128197fb,0,18,87,15,2012-01-01T00:04:00Z,72,136,125,811,-1.75
558ead5a48d3e920128197fb,0,18,87,15,2012-01-01T00:04:00Z,72,136,125,811,-1.75
558ead5a48d3e920128197fb,0,18,87,15,2012-01-01T00:04:00Z,72,136,125,811,-1.75
558ead5a48d3e920128197fb,0,18,87,15,2012-01-01T00:04:00Z,72,136,125,811,-1.75
558ead5a48d3e920128197fb,0,18,87,15,2012-01-01T00:04:00Z,72,136,125,811,-1.75
558ead5a48d3e92012819844,16,6,240,46,2012-01-26T21:30:42Z,178,298,229,1283,-5.25
558ead5a48d3e92012819844,16,6,240,46,2012-01-26T21:30:42Z,178,298,229,1283,-5.25
558ead5a48d3e920128197f9,0,12,44,3,2011-07-14T16:58:00Z,43,66,74,463,-0.125
558ead5a48d3e9201281982b,0,10,64,10,2015-05-16T12:00:02Z,88,114,181,1061,0.125
558ead5a48d3e9201281982b,0,10,64,10,2015-05-16T12:00:02Z,88,114,181,1061,0.125
558ead5a48d3e9201281982b,0,10,64,10,2015-05-16T12:00:02Z,88,114,181,1061,0.125
