id,credible_count,sentiment140_score,sentiwordnet_score,created_at,favorite_count,hashtag_count,nouns_count,numerical_count,punctuation_count,retweets_count,uppercase_count,url_count,user_mentions_count,wiki_entities_count,word_count,url_in_newser,url_in_newser100
603516540483477505,8,1,3,1,1,0,0,0,0,0,1,1,1,0,1,0,0
603614372913549312,12,5,0,1,0,0,0,0,0,0,1,0,1,4,3,0,0
603614374935166976,8,2,1,0,0,0,1,0,0,0,2,1,0,3,3,0,0
603621007614615552,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
603625466872733697,2,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0
604074960877940736,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
604141956315373568,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604263660610011136,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
604294427121582080,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
605391234312613888,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
605750428005888002,8,0,0,1,0,0,0,0,0,1,1,2,0,3,0,0,0
605924569065488385,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
606388570736197632,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,4
606418178030338048,12,0,1,3,0,0,0,0,0,2,1,2,0,0,2,0,0
606565163685183488,15,1,0,1,0,1,3,0,0,4,2,0,2,5,5,0,0
606655777189724161,8,0,0,0,1,1,0,1,0,1,1,1,0,4,0,0,0
606856528537219072,7,5,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
607048936017248257,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
607318580183597057,13,1,1,1,0,0,0,0,0,0,2,1,0,2,1,7,0
607324404423532545,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
607540280309334017,12,2,0,2,0,1,0,0,0,2,2,1,0,1,5,3,4
607574128346988544,9,0,1,1,0,2,0,0,1,1,2,1,0,2,0,0,0
607893529097039872,5,1,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0
608344554811629568,11,0,0,1,0,0,0,0,0,6,1,0,0,1,0,0,0
609058237586010112,7,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
609697577517363200,10,0,1,1,0,0,1,0,0,3,2,2,0,0,2,0,1
609911130274684928,9,1,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0
610090333041504256,4,1,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0
