id,credible_count,has_user_avatar,has_user_background,has_user_description,user_created_at,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_statuses_count,user_verified
607614480349032000,11,0,0,0,0,1,6,2,0,0,0
607642265826107000,4,0,0,0,0,1,2,1,1,3,0
608081458473738000,12,0,0,0,2,2,3,3,1,4,0
608145880223351000,2,0,0,0,0,0,0,0,0,1,0
608175507386081000,3,0,0,0,1,0,0,0,0,0,0
608298575521583000,12,2,4,0,4,4,10,8,3,5,0
608408641855758000,10,0,0,1,2,0,6,1,1,4,0
608570424495100000,9,0,0,0,2,5,1,0,1,4,0
608576795009511000,12,1,0,0,3,0,5,4,0,5,1
608948084064703000,7,0,0,0,1,2,5,1,0,1,0
609039146766602000,11,0,0,0,4,6,4,2,1,3,0
609053319898759000,11,0,0,0,3,4,3,0,0,2,0
609735847710102000,11,0,0,0,3,6,5,5,2,7,0
610016619524452000,11,0,0,0,1,1,4,1,0,7,0
