id,credible_count,comments_count,keywords_count,nouns_count,numerical_count,publication_date,punctuation_count,uppercase_count,entities_count,word_count,sentiment_count
558ead5a48d3e92012819881,9,5,1,2,0,1,0,2,0,0,1
558ead5a48d3e92012819882,7,0,0,0,0,0,1,1,2,2,3
558ead5a48d3e92012819883,8,0,0,0,0,3,0,2,3,0,0
558ead5a48d3e92012819886,6,1,1,0,1,0,1,1,2,3,2
558ead5a48d3e92012819888,10,0,0,1,0,1,0,1,5,1,0
558ead5a48d3e92012819889,5,0,0,1,0,3,0,1,1,2,1
558ead5a48d3e9201281988a,2,0,0,0,1,0,0,0,2,0,0
558ead5a48d3e9201281988b,9,1,0,1,1,1,1,1,1,3,2
558ead5a48d3e9201281988c,6,1,0,0,0,2,1,1,3,0,3
558ead5a48d3e9201281988d,6,0,1,2,0,0,1,0,1,1,3
558ead5a48d3e9201281988e,7,0,0,1,0,1,0,0,0,0,1
558ead5a48d3e92012819891,8,0,0,0,0,3,0,0,3,0,4
558ead5a48d3e92012819893,6,0,0,0,0,2,0,0,2,0,1
558ead5a48d3e92012819894,5,0,0,0,0,0,0,0,2,2,4
558ead5a48d3e92012819896,9,0,0,1,0,2,0,0,2,1,2
558ead5a48d3e92012819898,6,1,0,0,0,2,0,0,1,1,2
558ead5a48d3e9201281989c,3,1,0,1,1,0,1,2,0,1,0
558ead5a48d3e920128198a2,5,0,0,0,0,2,0,0,1,0,2
558ead5a48d3e920128198a3,12,1,0,2,2,2,1,1,3,4,2
558ead5a48d3e920128198a4,5,0,0,0,0,2,1,0,1,0,1
